Obs_Date,Year,Month,lat,lon,ComName,Carcass Condition,State,County
03/20/2000,2000,Mar,40.84716667,-72.5769999999999,"Whale, humpback",Alive,NY,Suffolk
05/12/2000,2000,May,41.8295,-70.00433333,"Whale, humpback",Advanced Decomposition,MA,Barnstable
06/02/2000,2000,Jun,41.5818333300001,-69.99183333,"Whale, humpback",Moderate Decomposition,MA,Barnstable
06/17/2000,2000,Jun,38.7450000000001,-74.85666667,"Whale, humpback",Advanced Decomposition,EZ,Unknown
08/18/2000,2000,Aug,41.6000000000001,-67.6,"Whale, humpback",Advanced Decomposition,EZ,Unknown
09/23/2000,2000,Sep,38.04133333,-75.232,"Whale, humpback",Advanced Decomposition,MD,Worcester
10/07/2000,2000,Oct,41.73568333,-70.32046667,"Whale, humpback",Advanced Decomposition,MA,Barnstable
10/07/2000,2000,Oct,41.73568333,-70.32046667,"Whale, humpback",Advanced Decomposition,MA,Barnstable
11/01/2000,2000,Nov,42.6771666700001,-70.6228333299999,"Whale, humpback",Advanced Decomposition,MA,Essex
01/18/2001,2001,Jan,39.9,-73.9,"Whale, humpback",Moderate Decomposition,NJ,Unknown
05/20/2001,2001,May,42.0333333300001,-70.63333333,"Whale, humpback",Moderate Decomposition,MA,Plymouth
05/27/2001,2001,May,41.7620000000001,-70.114,"Whale, humpback",Alive,MA,Barnstable
05/27/2001,2001,May,41.7620000000001,-70.114,"Whale, humpback",Alive,MA,Barnstable
05/30/2001,2001,May,37.5,-75.6,"Whale, humpback",Moderate Decomposition,VA,Accomack
06/22/2001,2001,Jun,41.4686666700001,-71.2965,"Whale, humpback",Advanced Decomposition,RI,Newport
07/12/2001,2001,Jul,41.265,-70.188,"Whale, humpback",Advanced Decomposition,MA,Nantucket
07/29/2001,2001,Jul,40.5833333300001,-74.0291666699999,"Whale, humpback",Moderate Decomposition,NY,Unknown
08/01/2001,2001,Aug,42.7666666700001,-69.35,"Whale, humpback",Moderate Decomposition,EZ,Unknown
08/10/2001,2001,Aug,41.4740000000001,-71.2474999999999,"Whale, humpback",Advanced Decomposition,RI,Newport
08/14/2001,2001,Aug,39.95638889,-74.0674999999999,"Whale, humpback",Advanced Decomposition,NJ,Ocean
08/18/2001,2001,Aug,38.1583333300001,-75.01722222,"Whale, humpback",Fresh Dead,MD,Worcester
09/08/2001,2001,Sep,40.17583333,-74.01333333,"Whale, humpback",Fresh Dead,NJ,Ocean
09/17/2001,2001,Sep,38.9833333300001,-74.81333333,"Whale, humpback",Advanced Decomposition,NJ,Cape May
02/08/2002,2002,Feb,36.951667,-76.085833,"Whale, humpback",Moderate Decomposition,VA,Virginia Beach (City)
03/24/2002,2002,Mar,36.79883333,-75.9575,"Whale, humpback",Moderate Decomposition,VA,Unknown
04/16/2002,2002,Apr,40.6322222200001,-73.20527778,"Whale, humpback",Advanced Decomposition,NY,Suffolk
05/01/2002,2002,May,42.6683333300001,-69.9133333299999,"Whale, humpback",Moderate Decomposition,EZ,Unknown
05/16/2002,2002,May,43.7500000000001,-67.65,"Whale, humpback",Advanced Decomposition,EZ,Unknown
05/30/2002,2002,May,40.18333333,-68.7166666699999,"Whale, humpback",Moderate Decomposition,EZ,Unknown
06/07/2002,2002,Jun,43.53961667,-70.2386999999999,"Whale, humpback",Moderate Decomposition,ME,Cumberland
08/01/2002,2002,Aug,40.52611111,-73.56138889,"Whale, humpback",Advanced Decomposition,NY,Nassau
10/01/2002,2002,Oct,42.0641666700001,-70.246,"Whale, humpback",Fresh Dead,MA,Barnstable
10/18/2002,2002,Oct,41.63033333,-69.95783333,"Whale, humpback",Alive,MA,Barnstable
10/30/2002,2002,Oct,36.8910000000001,-75.989,"Whale, humpback",Advanced Decomposition,VA,Unknown
11/20/2002,2002,Nov,42.0471666700001,-70.2959999999999,"Whale, humpback",Moderate Decomposition,MA,Barnstable
04/01/2003,2003,Apr,41.6107,-69.9775999999999,"Whale, humpback",Moderate Decomposition,MA,Barnstable
06/06/2003,2003,Jun,36.9965,-76.0776999999999,"Whale, humpback",Moderate Decomposition,VA,Unknown
06/16/2003,2003,Jun,43.3550000000001,-69.1866669999999,"Whale, humpback",Moderate Decomposition,EZ,Unknown
06/17/2003,2003,Jun,39.25669444,-74.60077778,"Whale, humpback",Advanced Decomposition,NJ,Cape May
06/17/2003,2003,Jun,39.25669444,-74.60077778,"Whale, humpback",Advanced Decomposition,NJ,Cape May
06/17/2003,2003,Jun,41.6783330000001,-66.855,"Whale, humpback",Fresh Dead,EZ,Unknown
07/03/2003,2003,Jul,41.37,-66.96333333,"Whale, humpback",Moderate Decomposition,EZ,Unknown
07/03/2003,2003,Jul,41.465,-66.98,"Whale, humpback",Moderate Decomposition,EZ,Unknown
07/03/2003,2003,Jul,41.4566666700001,-66.67166667,"Whale, humpback",Moderate Decomposition,EZ,Unknown
07/23/2003,2003,Jul,41.8200000000001,-67.12333333,"Whale, humpback",Moderate Decomposition,EZ,Unknown
