Obs Date,Year,Month,Latitude,Longitude,Common Name,Sex,Carcass Condition,Dead Animal Internal Exam (Partial or Complete),Country,State/Province,County,Field Number,Field14
1/15/2016,2016,Jan,36.921417,-75.667414,"Whale, humpback",Male,Moderate Decomposition,No,USA,VA,EEZ,VAQS20161004,
1/27/2016,2016,Jan,33.99518,-77.90637,"Whale, humpback",Male,Fresh Dead,Yes,USA,NC,New Hanover,WAM709,
2/17/2016,2016,Feb,33.21143,-79.18188,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,SC,Georgetown,SC1602,
2/19/2016,2016,Feb,35.29202,-75.51358,"Whale, humpback",Female,Moderate Decomposition,No,USA,NC,Dare,CAHA341,
3/16/2016,2016,Mar,41.20787,-71.55622,"Whale, humpback",Male,Moderate Decomposition,No,USA,RI,Washington,SYMn1610,
3/24/2016,2016,Mar,39.720539,-74.121103,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NJ,Ocean,MMSC-16-030,
4/23/2016,2016,Apr,41.465721,-71.302361,"Whale, humpback",Male,Fresh Dead,No,USA,RI,Newport,SYMn1623,
4/25/2016,2016,Apr,42.049393,-70.642831,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,MA,Plymouth,NEAQ-16-023-Mn,
4/26/2016,2016,Apr,40.9953,-72.0922,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NY,Suffolk,NY5460-2016,
6/4/2016,2016,Jun,40.7997,-72.7265,"Whale, humpback",Unk,Advanced Decomposition,Yes,USA,NY,Suffolk,NY5481-2016,
6/17/2016,2016,Jun,38.56705,-75.05687,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,DE,Sussex,MERRST1511Mn,
6/24/2016,2016,Jun,40.8133,-72.5751,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NY,Suffolk,NY5488-2016,
6/27/2016,2016,Jun,43.002,-70.7437,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NH,Rockingham,SSC-16-022 Mn,
7/5/2016,2016,Jul,38.822233,-75.036667,"Whale, humpback",Male,Fresh Dead,No,USA,DE,EEZ,MERRST1519Mn,
7/12/2016,2016,Jul,38.2531043,-75.1281681,"Whale, humpback",Unk,Advanced Decomposition,No,USA,MD,Worcester,16-MNO-21,
8/25/2016,2016,Aug,44.55568,-67.50043,"Whale, humpback",Male,Advanced Decomposition,No,USA,ME,Washington,COA160825Mn,
9/12/2016,2016,Sep,41.350507,-70.574146,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,MA,Dukes,IFAW16-172Mn,
9/16/2016,2016,Sep,39.169567,-74.678493,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,NJ,Cape May,MMSC-16-083,
10/6/2016,2016,Oct,43.782591,-69.65629,"Whale, humpback",Male,Advanced Decomposition,No,USA,ME,Lincoln,MME-16-260Mn,
10/27/2016,2016,Oct,33.84367,-77.96867,"Whale, humpback",Female,Fresh Dead,Yes,USA,NC,Brunswick,WAM714,
10/28/2016,2016,Oct,39.717316,-75.518067,"Whale, humpback",Female,Moderate Decomposition,No,USA,DE,New Castle,MERRCA1538Mn,
11/18/2016,2016,Nov,40.398667,-73.834333,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NJ,EEZ,NMFSGAR111816Mn,
11/23/2016,2016,Nov,40.7901,-72.7397,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,NY,Suffolk,NY5541-2016,
