Obs Date,Year,Month,Latitude,Longitude,Common Name,Sex,Carcass Condition,Dead Animal Internal Exam (Partial or Complete),Country,State/Province,County,Field Number,F14,x,y
1/15/2016,2016,Jan,36.921417,-75.667414,"Whale, humpback",Male,Moderate Decomposition,No,USA,VA,Virginia Beach,VAQS20161004,,-75.66741399999995,36.921417000000076
1/27/2016,2016,Jan,33.99518,-77.90637,"Whale, humpback",Male,Fresh Dead,Yes,USA,NC,New Hanover,WAM709,,-77.90636999999998,33.99518000000006
2/17/2016,2016,Feb,33.21143,-79.18188,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,SC,Georgetown,SC1602,,-79.18187999999998,33.211430000000064
2/19/2016,2016,Feb,35.29202,-75.51358,"Whale, humpback",Female,Moderate Decomposition,No,USA,NC,Dare,CAHA341,,-75.51357999999993,35.292020000000036
3/16/2016,2016,Mar,41.20787,-71.55622,"Whale, humpback",Male,Moderate Decomposition,No,USA,RI,Washington,SYMn1610,,-71.55621999999994,41.20787000000007
3/24/2016,2016,Mar,39.720539,-74.121103,"Whale, humpback",Unk,Moderate Decomposition,No,USA,NJ,Ocean,MMSC-16-030,,-74.12110299999995,39.72053900000003
4/23/2016,2016,Apr,41.465721,-71.302361,"Whale, humpback",Male,Fresh Dead,No,USA,RI,Newport,SYMn1623,,-71.30236099999996,41.46572100000003
4/25/2016,2016,Apr,42.049393,-70.642831,"Whale, humpback",Female,Moderate Decomposition,Yes,USA,MA,Plymouth,NEAQ-16-023-Mn,,-70.64283099999994,42.049393000000066
4/26/2016,2016,Apr,40.9953,-72.0922,"Whale, humpback",Female,Advanced Decomposition,Yes,USA,NY,Suffolk,NY5460-2016,,-72.09219999999993,40.99530000000004
6/4/2016,2016,Jun,40.7997,-72.7265,"Whale, humpback",Unk,Advanced Decomposition,Yes,USA,NY,Suffolk,NY5481-2016,,-72.72649999999999,40.79970000000003
6/17/2016,2016,Jun,38.56705,-75.05687,"Whale, humpback",Male,Moderate Decomposition,Yes,USA,DE,Sussex,MERRST1511Mn,,-75.05686999999995,38.56705000000005
