Field Number,Date,Year,Month,Latitude,Longitude,Common Name,Sex,Carcass Condition,Country,State/Province,County
AMCS101Ba2017,9/21/2017,2017,SEP,40.6116,-73.7549,"Whale, minke",UNK,Alive,USA,NY,Nassau
AMCS136Ba2017,12/10/2017,2017,DEC,40.556925,-73.898333,"Whale, minke",F,Fresh,USA,NY,Queens
AMCS30Ba2017,4/22/2017,2017,APR,40.8676,-73.7915,"Whale, minke",F,Fresh,USA,NY,Bronx
AMCS31Ba2017,4/23/2017,2017,APR,40.6055,-74.0446,"Whale, minke",M,Advanced Decomposition,USA,NY,Richmond
AMCS46Ba2017,5/22/2017,2017,MAY,40.8411,-72.4877,"Whale, minke",M,Moderate Decomposition,USA,NY,Suffolk
CALO1705,11/24/2017,2017,NOV,34.62337,-76.55138,"Whale, minke",F,Fresh,USA,NC,Carteret
COA170812Ba,8/11/2017,2017,AUG,44.258844,-68.393701,"Whale, minke",F,Fresh,USA,ME,Hancock
IFAW17-196Ba,4/20/2017,2017,APR,41.6638,-70.0756,"Whale, minke",M,Moderate Decomposition,USA,MA,Barnstable
IFAW17-293Ba,7/5/2017,2017,JUL,41.6663,-69.9664,"Whale, minke",F,Moderate Decomposition,USA,MA,Barnstable
IFAW17-341Ba,8/25/2017,2017,AUG,41.889604,-70.004718,"Whale, minke",F,Fresh,USA,MA,Barnstable
IFAW17-351Ba,10/2/2017,2017,OCT,41.927723,-70.062934,"Whale, minke",M,Fresh,USA,MA,Barnstable
IFAW17-382Ba,11/8/2017,2017,NOV,41.930154,-70.037398,"Whale, minke",UNK,Alive,USA,MA,Barnstable
MME-17-229Ba,8/27/2017,2017,AUG,43.61735,-69.912517,"Whale, minke",M,Fresh,USA,ME,Cumberland
MME-17-266Ba,10/9/2017,2017,OCT,44.125,-68.99,"Whale, minke",F,Advanced Decomposition,USA,ME,Knox
MME-17-269Ba,10/24/2017,2017,OCT,43.748404,-70.097215,"Whale, minke",F,Moderate Decomposition,USA,ME,Cumberland
MMSC-17-088,5/23/2017,2017,MAY,39.4647,-74.32111,"Whale, minke",UNK,Fresh,USA,NJ,Atlantic
NEAQ-17-071-Ba,8/8/2017,2017,AUG,41.90333,-70.415,"Whale, minke",F,Fresh,USA,MA,Plymouth
NMFSGAR070817Ba,7/7/2017,2017,JUL,41.89333,-70.51,"Whale, minke",F,Fresh,USA,MA,Plymouth
NY5564-2017,1/11/2017,2017,JAN,40.7787,-73.8688,"Whale, minke",F,Fresh,USA,NY,Plymouth
