	OBJECTID	NatlDBNum	ConfCode	SpeciesID	ComName	Genus	Species	County	State	WaterBody	LatAcc	LongAcc	ObsDay	ObsStatus	SpeciesCategory	x	y	spatialReference	Date	lat	lon
0	4190	NE-2018-1199686	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Virginia Beach (City)	VA	Atlantic Ocean	actual	actual	22	Moderate Decomposition	Humpback Whale	-8348961.809495511	4396909.996782087	102100	2018-JAN-22	36.69666700000004	-74.99999999999994
1	10117	NE-2013-1147366	Confirmed - Minimum	7	Whale, humpback	Megaptera	novaeangliae	Eez	VA	Atlantic Ocean	actual	actual	25	Moderate Decomposition	Humpback Whale	-8391931.132941717	4389877.95091604	102100	2013-JAN-25	36.64600000000007	-75.38599999999997
2	14729	NE-2009-1089905	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Eez	VA	Atlantic Ocean	actual	actual	17	Moderate Decomposition	Humpback Whale	-8370858.353334552	4394360.31558504	102100	2009-APR-17	36.67830000000004	-75.19669999999996
3	1141	NE-2019-1219059	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Virginia Beach (City)	VA	Atlantic Ocean	actual	actual	13	Moderate Decomposition	Humpback Whale	-8438573.999584097	4385963.318073248	102100	2019-MAR-13	36.61778000000003	-75.80499999999994
4	2149	NE-2019-1209072	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Virginia Beach (City)	VA	Atlantic Ocean	actual	actual	17	Moderate Decomposition	Humpback Whale	-8449605.761121714	4391584.6358493855	102100	2019-FEB-17	36.65830000000005	-75.90409999999997
5	12645	NE-2011-1130655	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Virginia Beach (City)	VA	Atlantic Ocean	actual	actual	15	Alive	Humpback Whale	-8451338.67163489	4397460.631302308	102100	2011-APR-15	36.70063300000004	-75.91966699999995
6	17186	NE-2006-1063341	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Virginia Beach (City)	VA	Atlantic Ocean	actual	actual	5	Alive	Humpback Whale	-8453300.455021141	4401558.238975643	102100	2006-AUG-05	36.73014000000006	-75.93728999999996
7	25970	NE-2002-1032676	Unconfirmed	7	Whale, humpback	Megaptera	novaeangliae	Unknown	VA	Atlantic Ocean			24	Moderate Decomposition	Humpback Whale	-8455550.221930075	4411103.71838926	102100	2002-MAR-24	36.798833330000036	-75.95749999999998
8	18237	NE-2006-1056503	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Virginia Beach (City)	VA	Atlantic Ocean	actual	actual	17	Moderate Decomposition	Humpback Whale	-8460615.25876117	4416480.522376454	102100	2006-MAR-17	36.83750000000004	-76.00299999999999
9	5520	NE-2017-1194525	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Virginia Beach (City)	VA	Atlantic Ocean	actual	actual	5	Alive	Humpback Whale	-8442741.022082964	4419540.951417206	102100	2017-JAN-05	36.85950000000001	-75.84243299999997
10	867	NE-2019-1220192	Confirmed - High Report	7	Whale, humpback	Megaptera	novaeangliae	Virginia Beach (City)	VA	Atlantic Ocean	estimate	estimate	29	Moderate Decomposition	Humpback Whale	-8458363.822059872	4422807.957585758	102100	2019-OCT-29	36.88297800000004	-75.98277499999995
