,OBJECTID,NatlDBNum,ConfCode,SpeciesID,ComName,Genus,Species,County,State,WaterBody,LatAcc,LongAcc,ObsDay,ObsStatus,SpeciesCategory,x,y,spatialReference,Date,lat,lon,Year,Carcass Condition,Country,Field Number,Month,Sex
0,25810.0,NE-2000-1038520,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,suffolk,NY,Atlantic Ocean,,,20.0,Alive,Humpback Whale,-8079234.68330341,4989824.851502328,102100.0,2000-MAR-20,40.847166670000036,-72.57699999999994,20000320,,,,,
1,24769.0,NE-2000-1038706,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,barnstable,MA,Atlantic Ocean,,,12.0,Advanced Decomposition,Humpback Whale,-7792846.739618184,5135473.488530887,102100.0,2000-MAY-12,41.829500000000046,-70.00433332999995,20000512,,,,,
2,24742.0,NE-2000-1038610,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,barnstable,MA,Atlantic Ocean,,,2.0,Moderate Decomposition,Humpback Whale,-7791455.245983268,5098544.473123899,102100.0,2000-JUN-02,41.58183333000005,-69.99183332999995,20000602,,,,,
3,25885.0,NE-2000-1036866,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,unknown,EZ,Atlantic Ocean,,,17.0,Advanced Decomposition,Humpback Whale,-8333006.016186212,4685210.553968656,102100.0,2000-JUN-17,38.745000000000054,-74.85666666999998,20000617,,,,,
4,24381.0,NE-2000-1036870,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,unknown,EZ,Atlantic Ocean,estimate,estimate,18.0,Advanced Decomposition,Humpback Whale,-7525197.57762529,5101248.438166115,102100.0,2000-AUG-18,41.60000000000008,-67.59999999999997,20000818,,,,,
5,25933.0,NE-2000-1033736,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,worcester,MD,Atlantic Ocean,,,23.0,Advanced Decomposition,Humpback Whale,-8374787.931359554,4585266.472763852,102100.0,2000-SEP-23,38.04133333000004,-75.23199999999996,20000923,,,,,
6,24412.0,NE-2000-1033715,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,barnstable,MA,,,,7.0,Advanced Decomposition,Humpback Whale,-7828038.542049763,5121467.952302104,102100.0,2000-OCT-07,41.73568333000002,-70.32046666999996,20001007,,,,,
7,24412.0,NE-2000-1033715,Confirmed - High Report,7.0,"Whale, humpback",Megaptera,novaeangliae,barnstable,MA,,,,7.0,Advanced Decomposition,Humpback Whale,-7828038.542049763,5121467.952302104,102100.0,2000-OCT-07,41.73568333000002,-70.32046666999996,20001007,,,,,
8,25342.0,NE-2000-1037117,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,essex,MA,Atlantic Ocean,,,1.0,Advanced Decomposition,Humpback Whale,-7861697.844673823,5262961.706855196,102100.0,2000-NOV-01,42.67716667000008,-70.62283332999995,20001101,,,,,
9,24165.0,NE-2001-1032912,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,unknown,NJ,Atlantic Ocean,estimate,estimate,18.0,Moderate Decomposition,Humpback Whale,-8226510.369622915,4851421.175183362,102100.0,2001-JAN-18,39.900000000000034,-73.89999999999998,20010118,,,,,
10,24076.0,NE-2001-1033267,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,plymouth,MA,Atlantic Ocean,,,1.0,Moderate Decomposition,Humpback Whale,-7862866.699327155,5165973.923760251,102100.0,2001-MAY-20,42.03333333000006,-70.63333332999997,20010520,,,,,
11,24922.0,NE-2001-1036370,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,barnstable,MA,Atlantic Ocean,,,27.0,Alive,Humpback Whale,-7805054.777479581,5125394.60138922,102100.0,2001-MAY-27,41.76200000000005,-70.11399999999998,20010527,,,,,
12,24922.0,NE-2001-1036370,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,barnstable,MA,Atlantic Ocean,,,27.0,Alive,Humpback Whale,-7805054.777479581,5125394.60138922,102100.0,2001-MAY-27,41.76200000000005,-70.11399999999998,20010527,,,,,
13,24360.0,NE-2000-1038319,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,accomack,VA,Atlantic Ocean,estimate,estimate,22.0,Moderate Decomposition,Humpback Whale,-8415753.503971478,4509031.39307666,102100.0,2001-MAY-30,37.50000000000005,-75.59999999999997,20010530,,,,,
14,25673.0,NE-2001-1032470,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,newport,RI,Atlantic Ocean,,,22.0,Advanced Decomposition,Humpback Whale,-7936690.075342627,5081717.6103676725,102100.0,2001-JUN-22,41.46866667000006,-71.29649999999998,20010622,,,,,
15,24071.0,NE-2001-1033287,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,nantucket,MA,Atlantic Ocean,estimate,estimate,12.0,Advanced Decomposition,Humpback Whale,-7813292.419798284,5051508.031318259,102100.0,2001-JUL-12,41.26500000000004,-70.18799999999997,20010712,,,,,
16,24166.0,NE-2001-1032910,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,unknown,NY,,,,29.0,Moderate Decomposition,Humpback Whale,-8240889.137554772,4951076.331030461,102100.0,2001-JUL-29,40.58333333000007,-74.02916666999992,20010729,,,,,
17,24586.0,NE-2001-1032916,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,unknown,EZ,Atlantic Ocean,,,1.0,Moderate Decomposition,Humpback Whale,-7720006.686513518,5276523.304287943,102100.0,2001-AUG-01,42.766666670000056,-69.34999999999997,20010801,,,,,
18,25662.0,NE-2001-1032466,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,newport,RI,Atlantic Ocean,,,10.0,Advanced Decomposition,Humpback Whale,-7931235.420293752,5082509.968246839,102100.0,2001-AUG-10,41.47400000000006,-71.24749999999993,20010810,,,,,
19,24046.0,NE-2001-1036213,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,ocean,NJ,Atlantic Ocean,,,14.0,Advanced Decomposition,Humpback Whale,-8245156.384330783,4859606.854199959,102100.0,2001-AUG-14,39.956388890000035,-74.06749999999994,20010814,,,,,
20,23956.0,NE-2001-1036441,Unconfirmed,7.0,"Whale, humpback",Megaptera,novaeangliae,worcester,MD,Atlantic Ocean,,,18.0,Fresh Dead,Humpback Whale,-8350878.978256242,4601817.211258906,102100.0,2001-AUG-18,38.158333330000055,-75.01722221999995,20010818,,,,,
